"Hostname","CheckMK ID","Reachable","Uptime Days","Uptime Hours","Reboot Pending","WSUS Update script","Reboot Script","WSUS Update Task","WSUS Reboot Task","Powershell version"
"BNT04TRMMM1-1.mmsrg.net","DE-M213-BNT04TRMMM1-1","True","11","20","False","Exists","Exists","Ready","Ready","5"
"ASB04TRMMM1-1.mmsrg.net","DE-M123-ASB04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"COB04TRMMM1-1.mmsrg.net","DE-M140-COB04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"FRH04TRMMM1-1.mmsrg.net","DE-M162-FRH04TRMMM1-1","True","9","20","False","Exists","Exists","Ready","Ready","5"
"NEU04TRMSE1-1.mmsrg.net","DE-S207-NEU04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"BKN04TRMMM1-1.mmsrg.net","DE-M143-BKN04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"KIE04TRMMM1-1.mmsrg.net","DE-M037-KIE04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"DOM04TRMMM2-1.mmsrg.net","DE-M278-DOM04TRMMM2-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"KAI04TRMMM1-1.mmsrg.net","DE-M029-KAI04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"SWF04TRMMM2-1.mmsrg.net","DE-M311-SWF04TRMMM2-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"MST04TRMSE1-1.mmsrg.net","DE-S018-MST04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"ESN04TRMMM1-1.mmsrg.net","DE-M266-ESN04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"DES04TRMMM1-1.mmsrg.net","DE-M182-DES04TRMMM1-1","True","12","15","False","Exists","Exists","Ready","Ready","5"
"FFM04TRMSE3-1.mmsrg.net","DE-S336-FFM04TRMSE3-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"ITZ04TRMMM1-1.mmsrg.net","DE-M219-ITZ04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"SAA04TRMMM1-1.mmsrg.net","DE-M041-SAA04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"LBL04TRMMM1-1.mmsrg.net","DE-M233-LBL04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"DZB04TRMMM1-1.mmsrg.net","DE-M224-DZB04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"NAD04TRMMM1-1.mmsrg.net","DE-M257-NAD04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"WIT04TRMSE1-1.mmsrg.net","DE-S046-WIT04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"STU04TRMSE1-1.mmsrg.net","DE-S092-STU04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"IOS04TRMMM1-1.mmsrg.net","DE-M185-IOS04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
